ஏன் இந்த திடீர் ஹேஷ்டேக்	why this sudden emphasis
அது சுலபம் அன்று	its not that simple
இதனால் அணைக்கு நீா்வரத்து அதிகரித்துள்ளது	this increased the water level in the lake
ஒவ்வொரு நாளும் உருவாகிறார்கள்	every day
இதில் சிறுமைகொள்ள ஏதுமில்லை	theres nothing insignificant about that
ஜேஸனுக்கு வயது 18 தான் ஆகியிருந்தது ஆனால் அவனுடைய வாழ்வின் இலட்சியங்கள் அனைத்தும் அடையப்பட முடியாதவை போல் தோன்றின	jason was only 18 but it looked as if all his lifes goals were now unattainable
இரண்டு சக்கரம் மற்றும் மூன்று சக்கர வாகன கம்மியர்	two wheeler three wheeler mechanic
புதிதாக எதுவும் நடக்கவில்லை	nothing new has happened
மத்திய அரசு தடை செய்த ரூ	the central government sanctioned rs
அற்று விழுந்தால் ச‌ரி	its okay to fall
ஆனால் எதற்காக தற்கொலை செய்துகொண்டனர் என்ற காரணம் இதுவரை தெரியவில்லை	however the reason for the suicide is not known yet
உட்காரும் நிலை	sitting position
அப்பாவின் அண்ணன்மார் தம்பிமார்	my brothers father
உள்ளிட்ட பதினான்கு நூல்களை எழுதியுள்ளார்	he has written four books
கண்களில் மையும் கால்களில் தண்டையுமிட்ட ஒரு சிறுமி செதலியின் அடிவாரத்தில் பூப்பறிக்க வந்தாள்	a girl with suruma in her eyes and anklet on the legs came to pluck the flowers
என்னது ​யோசிக்கணுமா…	what are you thinking
ஆடு யோகா என்பது நாம் செய்யும் ஆசனம் அல்ல	hatha yoga is not exercise
16 ஆயிரம் கோடி அளவுக்கு பொருளாதாரத்தில் பாதிப்பை ஏற்படுத்தியது	rs 16 lakh
இது மொத்த எம் பி க்களின் எண்ணிக்கையி்ல 31 சதவீதமாகும்	this makes up for 31 per cent of the states gdp
இந்த அரசியல் விளையாட்டில் நான் ஈடுபட விரும்பவில்லை	i dont want to be part of this political game
இந்த வன்முறையில் போலீஸாா் பொதுமக்கள் உள்ளிட்ட 200க்கும் அதிகமானோா் காயமடைந்தனா்	over 200 people were injured in the violence
கடவுச்சொல் மாற்றபடவில்லை	password unchanged
அன்று இரவு தூக்கமே வரவில்லை	i didnt sleep that night
இந்த நிலையில் சிறுமி தற்கொலைக்கு முறன்றார்	in the meantime the girl committed suicide
அவளுக்கு எல்லாம் பரபரப்பு	shes all pumped up
எனத் தெரியவில்லை என்றும் போலீசாரிடம் கூறியுள்ளார்	he did not tell the police
பல படங்களில் கவர்ச்சியாக நடித்தவர்	he has acted many movies
அதனை நாம் ஏற்படுத்துவோம்	we will make that happen
நான் அதை அறியவில்லை	i didnt know this
பெஸ்டிவல் உள்செயல்Comment	festival interactive
பணம் சார்ந்த முடிவுகள் என்று வரும்போது உண்மையில் அதில் பெண்கள் பங்கேற்பதில்லை	women dont really participate when it comes to money matters
சரண்யா நாக் இந்திய நடிகையாவார்	indian actress shriya saran
சொல்வதைச் சொல்லட்டும்	tell you what
உணவு இன்ஸ்பெக்டர் என சுகாதார இன்ஸ்பெக்டர்	sanitary inspector as food inspector
கொல்லத்தில் உள்ள அனைத்து தீவுகளும் அஷ்டமுடி ஏரியில் அமைந்துள்ளன	all the islands in kollam are situated in ashtamudi lake
அதற்கான சில ஆலோசனைகள்	some tips
இந்து அய்யர் குடும்பத்தை சேர்ந்தவர்	he belongs to a hindu family
இந்தியாவின் முதல் விண்வெளி படம் என்ற பெருமையை இப்படம் பெறுகிறது	it is indias first space film
அவர் நல்ல நண்பர்	shes a very good friend
சகலமும் சரியாகும்	everythings ok
இவர் படங்களில் வில்லன் குணச்சித்திர நடிகர் நகைச்சுவை நடிகர் என பல வேடங்களில் நடித்து உள்ளார்	he has essayed a wide range of roles as hero villain character actor and comedian
4 கோடி வரை விற்பனையாகும்	rs 4 lakh crore
மேல்முறையீட்டு மனு	revision petition
டிவியில்தானே	the one on tv
இந்த ஆலோசனை கூட்டத்தில் வாக்கு எண்ணும் பணி மற்றும் பாதுகாப்பு ஏற்பாடுகள் குறித்து ஆலோசனை நடத்தப்பட இருந்தது	during the meeting election schedules and security arrangements were discussed
டெல்லி விமான நிலையத்தில் கடும் பனிமூட்டம் பயணியாக வந்தவர்	passengers stranded at delhi airport
அணி வீரர் ஆனந்தராஜ் முதல் கோல் அடித்தார்	anil bhandari scored the first goal
இதையடுத்து போலீசார் தடியடி நடத்தி கூட்டத்தை கலைத்தனர்	thereafter the police arrived and dispersed the crowd
உங்களது ஆளுமை திறன் புலப்படும்	your personality will bloom
மாணவர்கள் ஆசிரியர் உறவு சுமூகமாக இருக்கும்	teacherstudent relationship is very cordial
நான் இப்போது அதைப் பற்றி பேச முடியும் என்று நினைக்கிறேன்	i feel i can talk about it now
அவர்களுக்கு விளக்கம் கேட்டு நோட்டீஸ் அனுப்பப்பட்டது	notices had been issued to them
பி ஜே பியின் வெற்றிக்கணக்கு தொடருமா	will the bjp win again
இருவரின் பெற்றோர்களும் பிரச்சனை குறித்து விவாதித்தனர்	both their parents also had a discussion on the matter
36 மத்திய அரசு உதவி பெறும் நலத்திட்டங்கள் ஒருங்கிணைந்த மூத்த குடிமக்களுக்கான திட்டங்கள் IPSrC	36 integrated programme for senior citizen ipsc
இதில் தேசிய காப்பீட்டு நிறுவனங்களுக்கு மட்டும் ரூ	of this only rs
ராமருக்கு 221 மீட்டர் உயரத்தில் பிரம்மாண்ட சிலை நிறுவப்படும்	the rumoured plan is to build a statue of ram 221 metres tall
ராஜாமணி அப்படியா	him really
நான் ரெடியாகி வர்ரேன்	im prepared
35 கோடி மதிப்பிலான திட்டங்களையும் காஷ்மீரில் ரூ	35 lakh and construction works costing rs
ம்கிந்தா என்ன கடவுளா	what is god
அதற்கும் தண்டனை தர வேண்டும்	it has also to be condemned
மேலும் இவர் கிரிக்கெட்டும் விளையாடினார் மற்றும் இவருக்கு கிரிக்கெட் வீரரான மன்சூர் அலி கான் பட்டோடி பயிற்சி அளித்தார்	he also played cricket and was coached by cricketer mansoor ali khan pataudi
அவருகிட்ட ஒருசின்ன தப்பு	its a mistake
மருத்துவர் சொல்லும் ஆலோசனையின் பெயரிலேயே மருந்து மாத்திரைகள் எடுத்துக்கொள்ள வேண்டும்	medicines have to be taken as per the doctors advice only
நாம் இந்தியர் என்கின்ற அடையாளம் சமீபத்தியது தான் எனினும் காலம் கடந்து வாழக் கூடியது	though our identity as indian is recent it would live beyond times
உத்தியோகத்தில் தைரியமாக முக்கிய முடிவு எடுப்பீர்கள்	you will take strong decisions at workplace
இது தான் இந்தியா என்று	this is india
ஆனால் உண்மையை அவ்வளவு எளிதில் மறைக்க முடியவில்லை	but the truth cannot be hidden
 மத்தவங்கள தொட்டு பேசுனாதானே தப்பு	such counsel clearly rules out flirting
ஆங்கிலம் தெரிந்து இருக்க வேண்டும்	must be fluent in english
ஊரக வளர்ச்சி மற்றும் ஊராட்சித் துறை தமிழ்நாடு அரசு 53	rural development panchayat raj department government of tamil nadu 53
எப்படிடா முடியுது உன்னால	how can you
நாம் இரண்டாம் தரக் குடிமக்கள் அல்ல	we are not second class citizens
அதாவது 2013 ஆம் ஆண்டின் தீபாவளிக்கு இரண்டு நாள்களுக்கு முன்னதாக வெளியானது	and no nineyearold is going to run off two days before christmas
தாவீதால் என்ன செய்ய முடியவில்லை	and he could not escape the consequences of his mistakes
தாமத வளர்ச்சிக்கு	slowed development
திசையன்விளையில் டிராக்டா் பைக் மோதல் இளைஞா் சாவு	youth dies in biketruck collision
இருவருமே அவ்வளவு அழகு	they both looked stunning in it
அவர் ஒரு சீக்கிய அறிஞர் மற்றும் சீக்கிய கீர்த்தனைகளை பாடுபவர்	a creature full of falsehood hatred and strife
சில தொலைக்காட்சி நிகழ்ச்சிகளும் நடித்தும் உள்ளார்	she has also acted in some tv serials
இல்லையேல் அனைத்தும் ஏட்டளவில் என்ற கதையாய் முடியும்	otherwise it might be a different story
எய்ட்ஸ் உண்மையிலிருந்து கட்டுக்கதையைப் பிரித்தறிதல்	how can you protect yourself aids separating myth from fact
மழை அவனைச் சற்று நனைத்தது	the rain beat down hard on him
நாட்டில் பொருளாதார ரீதியாக தற்போது பாரிய பிரச்சினைகள் ஏற்பட்டுள்ளது	the country is in serious trouble financially
சுத்தமும் சுகாதாரமும் மற்றவர்களை மதிப்பதை மட்டுமல்ல உங்களையே மதிப்பதையும் காட்டுகிறது	if you respect yourself others are more likely to respect you
மாவட்ட செயலர் என்	district secretary cn
சுமார் 58 சதவீத அமெரிக்கர்கள் மாதத்திற்கு ஒருமுறையோ பல மாதங்களுக்கு ஒருமுறையோ சர்ச்சுக்குச் செல்வதாக சொல்கின்றனர்	some 58 percent of americans say that they go to church once a month or less
குற்றாலம் மேலகரத்தில் சுவாமி விவேகானந்தா் பிறந்தநாள் விழா	swami vivekananda birth anniversary celebrations
குணமடைந்த நோயாளிகளின் எண்ணிக்கை	the number of patients recovered
தமிழ்நாடு கால்நடை அபிவிருத்தி முகமை	tamil nadu livestock development agency
மக்களுக்கான எமது பணி தொடரும்	we will keep working for the people
அண்மையில் அவரைச் சந்தித்தேன்	i met her recently
குழந்தை கொலை வழக்குதாய் கைது	childs murder accused held
நிகர வட்டி அளவு 35 சதவீதமாக உள்ளது	at present the interest rate is 35 per cent
விசாரணைக்கும் உத்தரவிடவில்லை	no inquiry was ordered
இதை பார்த்து நான் பயந்துபோய்	i am shocked to see this
இதில் இவருக்கு இரட்டைவேடமாம்	he plays a dual role
உள்படம் பின்னணி மட்டும் Rhino and Lion Park Gauteng South Africa	inset background only rhino and lion park gauteng south africa
அதனால் அரசாங்கம் இதுதொடர்பாக மைத்திரிபால சிறிசேனவை விசாரிக்க வேண்டும்என்றார்	so government should inquire into it
இதனால் நான்கு	this is four
அவர் குறித்து நாங்கள் பெரும் கவலையுடன் உள்ளோம்	we are extremely worried over it
படகுகள் இல்லை என்ற நிலை வரும் வரை நான் மீனவனாகத்தான் இருப்பேன்	ill remain a seaman until there arent any ships anymore
லோகேஷ் கனகராஜ் இயக்கத்தில் விஜய் நடித்து முடித்துள்ள படம் மாஸ்டர்	vijays master is being directed by lokesh kanagaraj
ஓட்டுநா் லாரியை விட்டுவிட்டு அங்கிருந்து தப்பியோடி தலைமறைவானாா்	the lorry driver abandoned the vehicle and fled
விளையாட்டு உலகின் மிகப்பெரிய போட்டியாக கருதப்படுவது ஒலிம்பிக் போட்டி	the olympics is the most important competition of the world of sport
ஆனால் என்னவோ தெரியவில்லை அந்த படம் அப்போது சரியாக ஓடவில்லை	but the film didnt take off at the time
இந்த நிலையத்தில் 2 நடைமேடை உள்ளது	there are two levels on the station
அதனை சட்டத்தின் பிரகாரம் நீதி நியாயத்தோடு மேற்கொண்டிருக்க வேண்டும்	justice needs to be done according to law
தவறு செய்தது சீனாதான்	it was chinas fault
யார் உனக்குக் கூறினார்கள்	who told you
அதுதான் எங்கள் முதலீடு	thats our investment
அதில் உங்களுடைய சந்தோஷம் எங்களுக்கு ரொம்ப முக்கியம் அம்மா	your happiness is important for us
பொறியாளர்கள் மாற்றத்திற்கான முகவர்கள்	engineers are agents of change
முழுவிவரம் இதோ	heres the full list
பொய் சொல்லுதலைப் பற்றிய என்ன உண்மையை நாம் அறிந்திருக்க வேண்டும்	just as a vase may be shattered if dropped so a precious relationship may be ruined by lying what truth about lying should we know
தேவையான சிகிச்சை அளிக்கப்பட்டு வருகிறது	he is taking the necessary treatment
இந்த விபத்து நடந்தபோது அருகே யாரும் இல்லாததால் காயம் மற்றும் உயிர்பலி ஏற்படவில்லை	during the incident no one was injured and no casualty occurred
பெங்களூரு மாநகர தென் கிழக்கு மண்டல போலீஸார் மீட்கப்பட்ட ரூ	bengaluru police find rs
பின் வெங்காயம் இஞ்சி பூண்டு பச்சைமிளகாய் கறிவேப்பிலை சிறிது மஞ்சள் தூள் சேர்த்து பொன்னிறமாக வதக்கவும்	then add onion carrot cabbage coriander leaves mint leaves ginger green chilli and salt
மறுபரிசீலனை செய்யப்படும்	to be reviewed
நியாயம் நியாயம்தானே	is it justice
நாட்டுக்கு வெளியே செல்லும்போது தன்னை இந்தியன் என்று பெருமை பொங்க அழைத்துக் கொள்ள வேண்டும்	one should be proud to call himself an indian when he travels away from his country
தெலுங்கு திரையுலகம் எனக்கு முக்கியமானது	telugu film industry has always been vital for me
கருப்பு பெட்டி	black box
எந்த கட்சியில	what party
இவ்வளவு கொடூரமானதா	is that so bad
உலகிலேயே மிகச்சிறந்த அணியாக இந்திய அணி திகழ்கிறது என்று உறுதியாகக் கூறுவேன் எனப் புகழாரம் சூட்டியுள்ளார்	i think india is the best team in world cricket
கதைகள்லேயும் அது எதுக்கு	what is the story about
தெற்கு ஒசேஷிய தலைநகரைப் பிடித்தது ரஷ்யா தொடரும் தாக்குதல்	russia condemns attack on south ossetia by georgia
அவர் என்ன செய்து இருக்க வேண்டும் என்பதை பற்றியெல்லாம் நான் கூறத்தயாராக இல்லை	i cant tell what he should have done
4851கிராமம் மற்றும் சிறு தொழில்கன் மீதான முதலீட்டுச் செலவு	4851capital outlay on village and small industries
மனம் நெகிழ்ந்தேன்	the article moved me deeply
நம் வீட்டுஇடத்தில் நாம்	we are home
ஞான கங்கா கல்வி அகாடமி	gyan ganga education academy
விடை பதில்	answer response
ஆனா வண்டி ஓடணும்னா டிரைவர் வேணும்	but the machine needs a driver
இந்த விபத்து தொடர்பாக உத்தரப்பிரதேச மாநில போலீசார் விசாரணை நடத்தி வருகிறார்கள்	the uttar pradesh police are carrying out investigation in the case
1 லட்சம் அபராதமும் விதித்திருந்தது	a fine of rs 1 lakh was also levied
ஐடித்துறை இந்தியாவில் தகவல் தொழில்நுட்ப துறையைச் சார்ந்த நிறுவனங்கள் தான் அதிகளவிலான ஹெச்1பி விசாவை பயன்படுத்தி வருகிறது	the h1b visas are sought after by most indian it professionals
பின்னர் இது சம்பந்தமாக தெப்பக்குளம் காவல் நிலையத்தில் கலையரசன் புகார் அளித்தார்	she then filed a complaint with kalasipalya police
அதை அவர்கள் அறிவார்கள்	they know it
இதனை தினமும் காலையில் குடித்து	drink it every morning before breakfast
நியூயோர்க்கில் அமைந்துள்ள ஐக்கிய	the new york
யெகோவாவைப் பிரியப்படுத்த விரும்பியதால் தவறான விஷயங்களைச் செய்யாமல் இருக்க அவர் போராடினார்	this shows that there were other things that paul viewed as sins and he was fighting against those wrongs too
அவர் நம்முடைய அவள் விகடன் வாசகி	she is our maid
அதற்காகவே இந்த இலவசம் என்றார் படத்தின் இயக்குனர் சாமி	that is the reason for this free show says sami the director of the film
அவர்களுக்கான உரிமைகளை வழங்க வேண்டும்	they should be given their rights
இந்த புகைப்படத்தை ரசிகர்கள் மிகவும் விரும்பும் நிலையில் வைரலாகியுள்ளது	the picture was much loved by fans
ரிதீஷ் தேஷ்முக் அலாவுதீனாக நடிக்கிறார்	riteish deshmukh is playing an antagonist
ஊர்வலமாகச் செல்ல அனுமதி இல்லை எனக்கூறி காவல்துறையினர் அவர்களை தடுத்து நிறுத்தினர்	police arrested them in the midway saying that there was no permission for rally
மழை வேண்டி திருவிளக்கு பூஜை	prayer for rain
எனவே இதனையும் தடுக்க வேண்டும்	so this has to stop
உண்மையில் மாலிக்கியின் முடிவை தீர்மானிப்பதில் ஈராக்கிய மக்களுக்கு எவ்வித செல்வாக்கும் இல்லை	in reality the iraqi people will have no influence in determining malikis fate
இதில் பின்லாந்து முதலிடம் பெற்றது நோர்வே டென்மார்க் ஆகிய நாடுகள் அடுத்தடுத்த இடங்களைப் பெற்றிருந்தன	finland has been ranked first in the list followed by the netherlands and norway
இந்தக் கேள்வி அமெரிக்காவுக்கு அவமானத்தை மாத்திரம் கொடுக்கவில்லை	this isnt just an issue for the us
அரசின் தலையீடு	impact on the government
இந்த நேரத்தில் தங்கத்தின் விலையும் அதிகரித்து வருகிறது	meanwhile gold prices are rising steadily
மும்பையில் உள்ள பஞ்சாப் நேஷனல் வங்கியில் ரூ	punjab national bank in mumbai
ஆனால் அது மிகவும் தவறான செயல்	but its so wrong
எங்கே வரணுமாம்	where will we go from here
கட்டச்சங்கிலி இணையர் வளையம் P2P peertopeer network என்ற அமைப்பைப் பயன் படுத்தி செயல் படுத்தப் பட்டுள்ளது	peertopeer file sharing is based on the peertopeer p2p application architecture
அவன் எண்ணம்கூட எனக்குத் தோன்றவுமில்லை	i dont think he is either
இந்திய அணி தரப்பில் கேப்டன் விரா ட் கோக்லி சதம் அடித்தது ஆட்டத்தின் சிறப்பம்சமாகும்	indian cricket team captain virat kohli plays a shot
தேடித் தகவல் பெற்றிட	searching for information
திரு வெல்ஸ் நான் இந்த பல மக்கள் கடந்து முடியாது	mr wells i cant pass this many people
இந்த வீடியோ இணையம் முழுக்க பெரிய வைரலானது	this video is going viral over the internet
எங்காவது தண்ணீரைத் தேடும் என்றாள்	i have to find water somewhere
இதற்கு சம்பளமாக சுளையாக ரூ	for this rs
என்னதெரியல்ல	whats not
மகளிர் பாதுகாப்புக்காக 4388 சிசிடிவி கேமராக்கள் பொருத்தம் உயர் நீதிமன்றத்தில் தில்லி காவல் துறை தக Dinamani	4388 cctvs installed in delhi for women safety police tells high court
இருவரும் ஒரே நிறுவனத்தில் வேலை பார்த்து வந்தனர்	both worked at the same hospital
இடாநகர் அருணாச்சலப் பிரதேச துணை முதலமைச்சர் சௌனா மெயின் வீட்டை கலவரக்காரர்கள் தீ வைத்து எரித்தனர்	arunachal pradesh mob burns deputy cms house curfew imposed
எங்கும் அரசியல்	politics everywhere
ஆனால் அது எப்போதாவது தான் நடக்கும்	but that happens sometimes
அவர்கள் கேட்டுக்கொண்டே இருக்க வேண்டும்	they need to be listened to
நிகழ்வுள்ள நிறத்தை மேல்லுள்ளதாக்கு	feather selection by
ஆனந்த் சங்கர் இயக்குகிறார்	anand shankar has directed the film
ரசிகர்கள் பாராட்டு	thanked fans
திங்க முடியுமா	can ya do this
நாட்டு மக்களின் மேம்பாட்டுக்கு கடுமையாக உழைப்பேன்	i will work for the development of the people
அளிக்கின்ற மருந்து மாத்திரைகளை சரியான நேரத்தில் உட்கொள்ள வேண்டும்	one must take medicines on time
மற்ற ஏரியாக்களை விடுங்கள்	leave the other spaces blank
ஆக்ஷன் படமாக உருவாகியுள்ள இந்த படத்தை சத்யஜோதி பிலிம்ஸ் தயாரித்துள்ளது	the movie is being produced by sathya jyothi films
இவ்வாறு பேசினார்	thats what he said
உண்மையை கண்டறிய போலீஸ் அதிகாரியான சுபா புன்ஜா மோகனுடன் நெருங்கி பழகுகிறார்	to learn the truth police officer subha punja interacts closely with mohan
அது குறித்து இன்னமும் எதுவும் தெரியாது	there is no knowing as yet
பல வித்தியாசப்பட்ட மனநிலைகள்	for example vertical marks one on each cheek identify ondo men and women
இவரை அழைத்துச் செல்	take this
சில விஷயங்களை ஜீரணித்துக் கொள்ளத்தான் வேண்டும்	a few things need to be clarified
விரைவில் அதற்கான அதிகாரப்பூர்வ தகவல் வெளியாகும் வரை வெயிட் பண்ணுவோம்	we expect to have the information out officially very soon
என் பதில் – அவசியமில்லை என்பதுதான்	my answer is no they dont
வெங்காயம் 200 கிராம் பொடியாக நறுக்கியது	onions finely chopped 200 gm
அப்பு இரவெல்லாம் இருமிக்கொண்டே இருந்தார்	he stayed awake all night
என்ன துணியீ அது	what audacity is this
அளவுரு பெயர் தனிப்பட்டதாக இல்லை	template name not unique
குழந்தையைப் போல அழத் தொடங்கினார்	i started crying like a baby
 நான் உங்கமேல அன்பு வைச்சிருக்கேன் என்று இயேசு அவருடைய சீடர்களிடம் அடிக்கடி சொன்னார்	jesus did not hesitate to tell his disciples that he loved them
இதில் ஒரு கார் லேசான சேதம் அடைந்தது	a car was damaged
சில்லறை வர்த்தகத்தில் அந்நிய நேரடி முதலீட்டுக்கு அனுமதி அளித்தது	fdi has been allowed in retail trade
நவம்பா் மாத இறுதி நிலவரப்படி இந்த முதலீடு ரூ	this investment amounting to rs
முவா யவு மனுக்கு நய்கனி ஆகிய சிற்றூர்கள் உள்ளன	there are four villages in the island yavu naigani mua and manuku
இந்நிலையில் மேற்குவங்க மாநில் முதல்வர் மம்தா பானர்ஜி கூறியுள்ளதாவது	west bengal chief minister mamata banerjee said this is
பல தடவை எனக்கு திருமணமும் செய்துவைத்து விட்டார்கள்	i have been married many times
புது வைரஸ்	the new virus
இப்போது அப்பா தனக்கு வேண்டியதை அந்தப் படத்தை அல்லது வார்த்தையைக் காட்டிக் கேட்கிறார்	even when the sufferer is confined to his home or to a care facility contact with family and friends is important
ஜூனியர் உலகக்கோப்பை ஹாக்கி தொடரில் ஆஸ்திரேலியாவை பெனால்டி சூட் முறையில் வீழ்த்தி இந்தியா இறுதிப்	india face australia in hockey world league final opener
உடல் நிலை சிறப்பாக இருக்கும்	health will be better
தனிக்குடும்பம் பல சேர்ந்து சமுதாயம் உருவாகிறது	several families make up the community
சமூகத்தில் பெண்களுக்கு எதிராக பல வன்முறைகள் நடந்து வருகிறது	violence against women is widespread across our society
எனவே கொரோனா தொற்று குறித்து பயப்பட வேண்டிய அவசியம் இல்லை	hence there is no need to be fearful about coronavirus
ஆனால் நடந்தது முற்றிலும் எதிர்பாராதது	but this was truly unexpected
இந்த நிலையில் தற்போது அங்கு குடியரசுத் தலைவர் ஆட்சி அமலாகியுள்ளது	the state is under presidents rule at present
வடகொரியா புதிய ஏவுகணை பரிசோதனை	new north korea missile tests
அதனுடன் குடும்ப	with the family
இந்த புகைப்படத்தை சென்னை சூப்பர் கிங்ஸ் அணி நிர்வாகம் டிவிட்டரில் பதிவிட்டுள்ளது	chennai super kings posted this video on twitter
இன்னொரு விண்டோ திறக்கப்படும்	a separate window will open
அனைத்து பண்டிகைகளும் நமது சமுதாயத்தை ஒன்றிணைக்கிறது என மோடி தெரிவித்தார்	every festival brings our society together modi said
ஆனால் சிஸ்டம் கெட்டுப் போயிருக்கே	but is the system foolproof
குடும்பங்கள் கொண்டாடும்	celebrating family
சென்னைப் பெருநகர் வளர்ச்சிக் குழுமத்தின் பணிகளாவன	the main functions of the chennai metropolitan development authority are
பிறகு ஒரு வாணலியை அடுப்பில் வைத்து அதில் வெண்ணெய் ஊற்றி சூடேற்ற வேண்டும்	then in a pan heat oil and put mustard
ஏனென்றால் அவர் மனிதம் நிறைந்தவர்	because hes good man
ஆட்சிக்கனவில் களமிறங்கிய பாரதீய ஜனதா கட்சிக்கு 2 இடங்களே கிடைத்தன	bjp had won only 2 seats
சுத்தம் செய்யவும் இல்லை	no cleaning is done
சன்னி லியோன் பாலிவுட் திரையுலகின் புகழ் பெற்ற நடிகை	sunny leone is one of the popular actors in bollywood
என்று புரிய வைத்தார்	he understood that
இங்கிலாந்து தொடருக்கான தென்ஆப்பிரிக்கா டி20 அணியில் டேல் ஸ்டெயின்	dale steyn returns to south africa twenty20 squad for england series
அதில் ஜனநாயகம் என்பதற்கு இடமில்லை	it has no place in democracy
எதற்காக	for what reason
ஆனால் அவர் அதை செய்துள்ளார்	but he did it
ஆப்பிரிக்காவில் இருக்கும் பெண்கள் மத்தியில் பின்னப்பட்ட முடி பாணிகள் பிரபலமாக உள்ளதால் இக்கலையில் திறமையுள்ள ஆட்களுக்கு பணம் சம்பாதிப்பதற்கு நல்ல வாய்ப்பு இருக்கிறது	using ingenuity
ராயல் எண்ட்பீல்டு ஹிமாலயன் பிஎஸ்6 பைக்கிற்கான டெலிவிரிகள் துவங்கியது	deliveries of the royal enfield himalayan bs6 is said to begin soon
ஆகாயும் சகரியாவும் அறிவித்த செய்திகளின் நோக்கம் என்ன	what was the objective of haggais and zechariahs messages
ஹரி இயக்கத்தில் உருவாகிவரும் இந்த படத்தில் ஸ்ருதிஹாசன் மற்றும் அனுஷ்கா முக்கிய வேடத்தில் நடிக்கின்றனர்	in this movie shah rukh khan and anushka sharma are in the lead roles
எனவே இந்த வழக்கை தள்ளுபடி செய்ய வேண்டும் என கூறப்பட்டு இருந்தது	hence this claim should be dismissed it said
2500 முதல் ரூ	2500 to rs
இதனையபுடுத்து மக்கள் யாரும் கூட்டத்தில் பங்கேற்க வில்லை	no member of the public attended the event
மக்கள் விரக்திக்கு உள்ளாவர்கள்	people are frustrated
சமீபத்தில் தனது உடற்பயிற்சியை முடித்து விட்டு எடுத்துக்கொண்ட புகைப்படம் ஒண்ரை தனது இன்ஸ்டாகிராம் பக்கத்தில் பதிவிட்டுள்ளார்	recently she posted a workout video of herself on her instagram
அதிர்ஷ்ட எண்9 அதிர்ஷ்ட நிறங்கள்வெள்ளை மஞ்சள்	lucky number 9 lucky colour yellow
மரணத்தின் பின்னால்	after death
இது வெறும் கோட்பாடு அல்ல	this isnt just theory
விளையாட்டு நிகழ்வுகள் திரைப்படங்கள் அல்லது இசை நிகழ்ச்சிகள் போன்ற கூட்டங்களை ரத்து செய்தல்	cancellation of mass gatherings includes sports events films or musical shows
புதுடெல்லி மொத்தம் ரூ	total rs
படத்தின் பாடல்கள் விரைவில் வெளியிட உள்ளோம்	pictures will be released soon
எல்லார் வீட்லயும் ரொம்பக் கவலைப்படுறாங்க	everyone is very worried about it
அதை அவர் ஜனாதிபதிக்கு அனுப்புவார்	it will be sent to the president
ஆனால் நாங்கள் அதை அனுமதிக்கவில்லை	but we dont allow it
தமிழ் சினிமாவில் பல படங்களில் நடித்து பிரபலமானவர் ஐஸ்வர்யா ராஜேஷ்	aishwarya rajesh is a prolific actor from the tamil movie industry
இந்த நிகழ்ச்சி விரைவில் டெலிகாஸ்ட் ஆகவுள்ளது	the show will soon be wrapping up
சாலை விபத்தில் தந்தை மகன் பலி	father son killed in road accident
அனுபவங்களை பகிா்ந்து கொண்டனா்	share experiences
இதை விவசாயிகள் புரிந்து கொள்ள வேண்டும்	it is essential to make farmers understand this
டார்வினுக்கு தெற்கே 450 கிலோமீட்டர் தூரத்தில் ஜில்க்மிங்கன் என்ற இடத்தில் நாம் ஒரு சிறிய ஆதிவாசிகள் தொகுதியைச் சந்திக்கிறோம்	do not gaze about for i am your god i will fortify you
குழந்தைகள் சிறுவர்களுக்கான படுக்கையறைகளில் தொட்டில்கள் அல்லது சிறிய அளவிலான கட்டில்கள் இருப்பதுண்டு	drugs can be made available to individuals small groups or large groups
என்ற பரபரப்பு ஏற்பட்டது	there was uproar
மற்ற இருவருக்கும் தீவிர சிகிச்சை அளிக்கப்பட்டு வருகின்றது	the other two are undergoing treatment
அனைத்துக் கட்சித் தலைவர்களும் கலந்துகொண்டு புகழாரம் சூட்டினார்கள்	all senior party leaders were present on the occasion
உலக ஹாக்கி லீக் தொடர் அரையிறுதியின் பி பிரிவு லீக் போட்டியில் இந்திய அணி 71 என்ற கணக்கில் பாகிஸ்தானை வீழ்த்தியுள்ளது	hockey world league semifinal india thrash pakistan 71
கேட்டால் இல்லையென்று தான் பதில் வரும்	if you ask me the answer is no
போனின் விலை 699 அமெரிக்க டாலர்களாகும்	the phone is priced at rs 7999
நமக்கு ருசி பழகிவிட்டது	we got used to it
இதனைப்பார்த்து அதிர்ச்சி அடைந்த அப்பகுதி மக்கள் ரெயில்வே போலீசாருக்கு தகவல் தெரிவித்தனர்	local residents informed the railway police about the accident
ஊழியர்களுக்கும் தொடர்பு	connecting with workers
முருங்கைக் காய் மந்திரம்	mango magic
மேலும் ஜீப் நிறுவனத்தின் யுகனெக்ட்5 என்ற கனெக்ட்டிவிட்டி தொழில்நுட்ப வசதியையும் பெற்றிருக்கிறது	it features jeeps uconnect5 technology as well
அதிகபட்ச வேண்டுதல் அளவு	max request size
எனக் கேட்­டுள்ளான்	he asked
அதுவும் முஸ்லிம்	that too by a muslim
இல்லை என்றால் அவர்களை விடுதலை செய்யும்	otherwise they will be left out
அப்ப இல்லை என்று	thats not
