எவரையும் அவர் தூற்றிப்பாடியது கிடையாது	he didnt spare anyone
அதற்கு எந்த ஆதாரமும் இல்லை	theres no basis to it
பள்ளி மாணவர் விடுதி விவெள்ளோடு	school boys hostel vvellodu
உணவு இடைவேளையின் போது இங்கிலாந்து 1735 என்று இருந்தது	england went into lunch at 1735
பாஜக கூட்டணி 300க்கும் மேற்பட்ட தொகுதிகளில் பெற்று தேசிய ஜனநாயக கூட்டணி மத்தியில் ஆட்சியைப் பிடிக்கும்	the bjpled national democratic alliance is ahead in 300 seats
சோதனை செய்ய	to test
எங்கள் போராட்டம் வலுவடைந்துள்ளது	our strength has increased
அதே போன்று உ பியிலும் 7 தொகுதிகளில் பதிவான வாக்குகளில் 2ற்கும் குறைவாகவே காங்கிரஸ் கட்சி பெற்றுள்ளது	similarly in zila parishad polls congress had won ten seats compared to bjps three
நீதான் என் ஹீரோயின்	shes my hero
தோல்வி என்றால் என்ன	whats the failure
அந்த வீட்டை போலீஸார் சுற்றி வளைத்தனர்	the police have cordoned off the house
இது குறித்து கொல்லம் போலீசார் வழக்குப்பதிவு செய்து விசாரணை நடத்தி வருகிறார்கள்	police have registered a case in this regard and are investigating
மிளகு 6	cloves 6
இவர் இறைவனின் தூதர் என்பது இசுலாமியர்களின் நம்பிக்கை	only messengers of my lord have arrived here
உள்ளாட்சி தேர்தல் செய்திகள்	elections news
இதற்காக நாள் ஒன்றுக்கு ரூ	for this rs
இருந்தும் இருவர் வாழ்விலும் சில சுவாரஸ்யமான ஒற்றுமைகளும் உண்டு	however there are a few notable similarities between the two
அவர் உரிய நடவடிக்கை எடுப்பார்	he will take appropriate action
ஆசிரியையின் பேச்சு	teacher speak
யாரோ பாடுகிறார்	someone is singing a song
அவர் வெளியிட்டுள்ள ஆடியோவை கேளுங்கள்	listen to the audio
அனைவரும் முக கவசம் அணிந்திருந்தனர்	all were wearing masks
தக்காளி பூண்டு ஆகியவற்றை பொடியாக அரிந்து வைத்துக் கொள்ளுங்கள்	stir in tomatoes and garlic
இதுவரை அனைத்து முடிவுகளும் நெகட்டிவாக வந்துவிட்டன என்று ஹர்ஷ் வர்தன் கூறினார்	so far all the results have been negative added dr vardhan
இது கரும்புள்ளிகள் மற்றும் கருவளையங்கள் வராமல் தடுக்கும்	this helps avoid pimples and acne
1 தேக்கரண்டி வெங்காயம் சாறு	1 teaspoon garlic powder
எதிர்பார்த்த வெற்றி	success awaited
இதில் சட்டப் பேரவை உறுப்பினா்கள் கரைப்புதூா் அ	among others members of legislative assembly
செய்முறை நந்தியாவட்டை பூக்களின் இதழ்களை நீர்விடாமல் அரைத்து எடுக்கவும்	method wash and blanch the drumstick leaves
சீரானசரிவு விருப்பங்கள்	jpeg compression options
கடவுளுடைய வழிநடத்துதலை நாடுங்கள் அதன்படி நடந்திடுங்கள்	seek and follow gods guidance
அல்லது செத்துப் போய்விடலாமா	or is he dead
முற்பிதாவான ஆபிரகாம் தன் கழுதையுடன் மலைப்பாதையைக் கடந்து மோரியா மலைக்குச் சென்றார்	the patriarch abraham crossed mountainous terrain with his donkey when on his way to mount moriah
இவர் தற்போது தமிழ் மொழியில் மட்டும் இல்லாமல் தெலுங்கு மொழியிலும் நடித்து வருகிறார்	currently i am acting telugu and tamil languages as well
ஆனால் அந்த சமயத்திலும் என்னால் முடிந்த உதவிகளை நான் செய்தேன்	i did what i could at that time though
அதில் பெரும்பாலானோர் குழந்தைகள் என்று தெரியவந்துள்ளது	a majority of them were children
காங்கிரஸ் கட்சி ராகுலை	the congress party
நல்லாருக்கே ஜோடி	a fine pair
வருடங்களின்படி சுயதொழில் உதவி வழங்குதல்	offering self employment assistance break down for the years
கோடி நிதி ஒதுக்கீடு	253 crore
தொடையெலும்பு மனித உடம்பில் வலிமையானதும் நீளமானதுமான எலும்பு ஆகும்	the greater the formation of men the greater the loss of life and limb
தமிழ் மொழி எனக்கு ரொம்ப பிடிக்கும்	i really like the telugu language
கால்பகுதி ஆண்கள் வேலையில்லாமல் இருப்பதால் இளம் ஜோடிகள் தங்களது உறவினர்களுடன் வாழ்ந்து வந்தார்கள்	about a quarter of the men were unemployed forcing many young couples to live with relatives
மேலும் அதனைக் கடக்காமல் உங்களில் யாரும் போக முடியாது இது உம்முடைய இறைவனின் முடிவான தீர்மானமாகும்	not one of you but will pass over it this is with thy lord a decree which must be accomplished
அது சிக்கனமாக நடந்து கொள்கிறதா இல்லையா என்பது முக்கியமல்ல	either it is important or not important
சத்குரு ட்வீட்	sadhguru tweet
50 லட்சம் நகைகள் கொள்ளை	jewellery worth rs 50 lakh was looted
அவர்களோடு மீண்டும் இணைய என்ன செய்ய வேண்டும்	whats to be done with them
திறமைக்குக் குறைவில்லை	no talent
அதன் பிறகுதான் சி பி சி ஐ டிக்கு இந்த வழக்கு மாற்றப்பட்டது	the case was later transferred to cbi
தமிழ் நாட்டில் இன்றும் தலித் ஓட்டு வங்கியை அதிகம் வைத்திருக்கும் கட்சி அதிமுக	the aiadmk remains the only single party in tamil nadu with the largest vote bank share
இது நாட்டின் சகல வளர்ச்சிக்கும் பாதிப்பாக அமையும்என்றார்	it is going to affect the future of the whole country
முன்பைவிட இப்போது ஸ்ட்ராங்காக குடிக்கிறேனா	do i use alcohol to escape worries stress or problems
அதற்கு அவர் ரூ	he paid rs
அவர்கள் திகைத்தனர்	they were startled
நீங்கள் பத்திரிக்கைகள் நாளிதழ்கள் படிப்பதில்லை என கருதுகிறேன்	i dont read the newspapers or magazines
அவரது புகாரின்பேரில் கைது செய்யப்பட்ட அந்த நபர் பிறகு ஜாமீனில் வெளியே வந்தார்	the accused were arrested based on his complaint but later let off on bail
அந்த எண்ணத்திலேயே நாங்கள் இதனை செய்தோம்	we had that in mind
அதையடுத்து அவர் தமிழில் ஒரு சில படங்களில் நடித்தார்	he has also acted in a few tamil films
அவர் சொன்னது சரியே	i dont think he would be keen about it he was right
கூலிப்படை வைத்து ராஜீவ் காந்தியை கொன்றுள்ளனர்	rajiv gandhi assassinated
மகளிர் தினவிழா	womens day
மதுக்கூடங்கள்	wine shops
இப்படத்தின் இசைக்கும் கதைகளத்திற்கும் பெரும் வரவேற்பைப் பெற்றது	this film was widely appreciated for its music and plot
அவரும் நன்றாகத் தான் இருப்பார்	hell be fine
தப்பு தான்	its wrong
அவர்கள் நாடி நரம்புகள்	they are owls
அவன் பெரும் நோயாகிய குஷ்ட நோய் தாக்கி அவதிப்பட்டு வந்தான்	he was suffering from a chronic disease
உண்மையை உணர்ந்து போற்றுவோராய் அந்தப் பதிலுக்கு எல்லாரும் கைதட்டினார்கள்	everyone clapped in appreciation for the answer
இராணுவ தோட்டங்கள்	military estates
வேண்டுதலா	would you want to
ஆனால் இப்போர் இங்கு நிகழ இரண்டு தூண்டுதல்கள்	but there are two caveats here
அதேபோல்தான் இந்த விவகாரமும் காணப்படுகிறது	the same is happening in this case
பின்னர் போராட்டத்தில் ஈடுபட்ட ரசிகர்களை போலீசார் கைது செய்தனர்	police later detained the protesters
கோடிக்கணக்கான மதிப்புள்ள அரசு சொத்துக்கள் அழிக்கப்பட்டன	property worth billions of rupees was destroyed
கிடைத்து உள்ளன	are available
அப்போது கால் தவறி கீழே விழுந்த அவர் பலத்த காயமடைந்தார்	he fell down and sustained serious injuries
பாகிஸ்தானுடன் விளையாட இந்தியா தயாராக இல்லாத பட்சத்தில் நாங்கள் அவர்களை கட்டாயப்படுத்த முடியாது	if india is not ready to play with pakistan we cant force them to do so he said
காவல்துறை முன்பு போல இல்லை	no police as usual
பிரதான கட்டளையைக் குறித்த கேள்வி எழும்புவதற்கு எது காரணமாய் இருந்திருக்கும்	the loving personal concern that jehovah thus shows draws us close to him
எனவே காரம் கொழுப்பு நிறைந்த உணவுகளை உண்பதை தவிர்க்க வேண்டும்	therefore over salty and over sweet food should be avoided
வெற்றி கிடைத்தது	had succeeded
என்று முடித்தேன்	im done
ஆனா எனக்கு நடிப்பு ரொம்ப பிடிக்கும்	but i love acting
இந்த குறைபாடு தொடர்ந்தும் இருந்து வருவகின்றது	this disadvantage persists
திரைப்படம் எப்படி எடுப்பது	how do you select a film
1 கோப்பினை திறக்க இயலவில்லை	could not open file 1
ஆம் உண்மை என்றான் சத்வன்	yes thats true he said
கரம்மசாலாத்தூள் 12 டீஸ்பூன்	turmeric powder 12 teaspoon
ஒன்று அல்லது இரண்டு ஆண்டுகளில் அந்த எரிவாயு அமைப்பு நினைவுச் சின்னமாக மாறிவிடும்	then in one or two years the plant becomes a monument
அ நடமாடும் கால்நடை மருந்தகம் சைதாப்பேட்டை	veterinary polyclinic saidapet
அரசுத் திட்டங்கள் எவ்வளவோ இருக்கின்றன	what is the governments plan
அவருக்கு என மனமார்ந்த நன்றிகளை தெரிவித்துக் கொள்கிறேன்	i am very thankful to him
அதனை அவர்கள் சரியான முறையில் பராமரிக்க வேண்டும்	they should be looked after properly
ஆனால் மருத்துவமனைக்கு செல்லும் வழியிலேயே அவர் உயிர் பிரிந்தது	but he died on way to the hospital
அவளுடைய கரவுக்காதலன்	her lover
இதைப் பற்றிய உங்களின் கருத்து	your opinion on this
நியாய அநியாயங்களைப் பற்றி பேசாதே	dont talk about that
தற்போதைய படவில்லைக்கு பின்	from current slide
அடுத்தடுத்து மூன்று குழந்தைகள்	three children followed
500 கோடியிலிருந்து ரூ	500 crore to rs
5 மிமீ ஆடியோ ஜாக் மற்றும் பக்கவாட்டில் பொருத்தப்பட்ட கைரேகை ஸ்கேனர் இதில் இருக்கிறது	on the top edge it has a 35mm audio jack and a secondary microphone
காய்கள் கருப்பு நிறத்தில் இருக்கும்	the leaves appear black
இனி நமக்கு வேறு வழியில்லை	we have no other option
மேலும் அவர்களை	and they
மேலே என்ன படிக்கப் போறே	what will you be studying about
ஏதோ ஒண்ணு நடந்துருக்கு	somethings happening
அவர்கள் மிகுந்த ஆச்சரியப்பட்டு பிரமித்தார்கள்	as jairus and his wife embraced their daughter they felt deep happiness
ஜனாதிபதியின் பொங்கல் வாழ்த்து	congratulations mr president
என்ற கவலை வருகிறது	is concerned
இந்த நிலைமைகள் மோசமானவை	these conditions are deplorable
உயரத்தில்தான் வளர முடியவில்லை	it could not grow
அடுத்து நோவா போதிய அளவு உணவையும் தீவனங்களையும் தயாரிப்பதற்கு கவனம் செலுத்த வேண்டும்	noahs attention would next have to turn to the preparation of sufficient food and fodder
ஆனால் யாரும் வெற்றி பெறவில்லை	but none succeeded
விஜய் தேவரகொண்டா நடிப்பில் அண்மையில் வெளியான தெலுங்கு படம் அர்ஜுன் ரெட்டி	vijay devarakonda is the star of the recently released hit telugu film arjun reddy
நான் பக்தன் இல்லை	i aint no saint
தேசிய பேரிடா் மீட்புக் குழுவினா் தொடா் மீட்புப் பணியில் ஈடுபட்டனா்	a team of the national disaster response force ndrf has been carrying out the rescue operation
இதனால் ரெயில்வே துறைக்கு ரூ	consequently rs
சகோதரிகள்	the sisters
5 கோடி	5 crores
பிறகு இதில் எங்கு இருக்கிறது குறை	then where lies the fault
ஒரு மகாடன் குண்டு ஒன்றின் சக்தி	the power of a one megaton bomb
எங்கும் லஞ்சம் எதிலும் லஞ்சம் ஏன்	why is there so much corruption
இதுகுறித்த தகவல் அப்பகுதியில் வேகமாகப் பரவியது	soon the news spread in the locality
கருப்பு பணத்தை ஒழிக்க மத்திய அரசு சமீபத்தில் ரூ	the government recently fixed rs
மோடி மௌனம் ஏன்	why is modi silent
இதன்மூலம் பாகிஸ்தான் அணிக்கு எதிரான ஆட்டத்தில் 89 ரன்கள் வித்தியாசத்தில் இந்திய அணி அபார வெற்றிபெற்றது	india claimed victory by 89 runs against pakistan
எப்படி நிறுத்தினார்கள்	how they stood
இவர்கள் எதற்காக என் வட்டத்திற்குள் வந்தார்கள்	why are they coming after me
முந்திரிப் பருப்பில் கொழுப்புச்சத்து மிக அதிகமாக இருப்பதால் அதிக அளவில் சாப்பிடக்கூடாது	peanuts are quite high in calories so they shouldnt be eaten in excess
2வது செட் ஆட்டமும் பலத்த போட்டியாக இருந்தது	game 2 was a tight contest
குற்ற நடத்தை	criminal behaviour
பெங்களூருவில் தொடங்கிய பஜாஜ் சேத்தக் மின்சார ஸ்கூட்டர் டெலிவரி பதறும் ஏத்தர்	thoughts on the bajaj chetak electric scooter delivered in bangalore
விரைவில் இந்தப் படம் திரைக்கு வருகிறது	the film will release soon
இந்த செய்தி மிகுந்த வருத்தம் அளிப்பதாக உள்ளது	this is very sad news indeed
மோடி மீண்டும் பிரதமராக வர வேண்டும் என மக்கள் விரும்புவதையே இந்த முடிவுகள் காட்டுவதாக பாஜக கூறியுள்ளது	bjp says what matters is that people want modi back
இருப்பினும் நேரடியாக பதில் அளிக்கவில்லை	however they are not responding immediately
சுலபமான நடுநிலை	easy middle
இருவரும் லஷ்கர் இ தொய்பா தீவிரவாத அமைப்பைச் சேர்ந்தவர்கள் ஆவர்	both the militants were affiliated to lashkaretaiba
இருவகை ஆண்கள்	two men
நடத்தற் செலவு	running cost
அந்தந்த மாநிலங்களின் வரி விகிதத்திற்கு ஏற்ப விலை உயர்வு மாறுபடும்	prices vary from state to state depending on the incidence of local taxes
கோரிக்கைகளை நிறைவேற்றுங்கள்	fulfil demands
அரிசியில்	for rice
மக்கள் நம்பமாட்டார்கள்	people wont believe it
இதை அவரே தன் வாயால் ஒப்புக்கொண்டும் விட்டார்	he admitted to this
அரசுத் தரப்பிலோ அல்லது காவல்துறை தரப்பிலோ எந்த கருத்தும் இதுவரை வெளியாகவில்லை	there was no comment from police or the military
இவர்களில் இரண்டுபேர் பெண்களாகும்	two of them are women
எனினும் என்ன பயன்	whats the point though
கூற்றம் நாடுகள் என்ற சிறிய அலகுகளாகப் பிரிக்கப்பட்டன	kootrams were divided into naadugal
டெல்லி ஆப்ரிக்க நாடுகளுக்கு 5 நாள் சுற்றுப் பயணத்தை பிரதமர் நரேந்திர மோடி தொடங்கியுள்ளார்	pm narendra modi leaves on fournation african tour
தலைமறைவாக உள்ள ஆசிரியையை போலீசார் தேடி வருகின்றனர்	the police are searching the teacher who has been fled from the school
வாழ வழி இல்லையா	isnt there life here
பகுப்புஐக்கிய அமெரிக்க செனட்டர்கள்	given senators of united states of america
ஐஸ்வர்யா ராஜேஷ் கிரிக்கெட் வீராங்கனையாக நடித்துள்ளார்	aishwarya rajesh is playing the role of a wrestler
விவசாயிகளை பஞ்சாப் காங்	punjab farmers
இதன் படப்பிடிப்பு மும்பையில் துவங்கியுள்ளது	the shooting of the film has begun in mumbai
ஜெயிச்சதுக்கான யாரு எனக்கு பணம் கொடுக்க போறா நீ வின்சென்ட் ஸ்வான் தோற்றதற்கு	whod have put money on me being the bloody successful one and you vincent swan being such a fucking loser
இவனை யாரென்று நினைத்தாய்	thinking who it is
இது இரண்டு பகுதியாக வந்துள்ளது	its in two parts
ரிலீஸான அன்று ரூ	the release of rs
மறுபடி ஓடுவேன்	i will go again
வேலை கிடைக்கும் அதிருஷ்டம் உடைய இளைஞர்கள் சராசரி மாதத்திற்கு 700 யூரோக்களில் வாழும் தேவையில் உள்ளனர்	those youth lucky enough to get work are required to subsist on a salary averaging 700 per month
இறுதிச்சடங்கு பணிகள்	funeral functions
பல்வேறு தொண்டு நிறுவனங்களுடன் இணைந்து மத்திய அரசு செயல்பட்டு வருகிறது	the foundation works closely with various state governments
தேவன் என்பவர் யார் என எனக்குத் தெரியாது	i dont know what god is like
இவற்றிற்கு பெரும்பாலும் வைரஸ் தாக்குதல் காரண மாகலாம்	it is often caused by virus infections
இவர் ஃபேஷன் டிஸைனிங் படித்துப் பட்டம் பெற்றவர்	she is a graduate in fashion designing
திரு பிபிசர்மா வழக்கறிஞர்கள்	mr bp sharma advocates
கருப்பு தங்கம்	black gold
இதனால் அவரை தீர்த்து கட்ட முடிவு செய்தார்	so he decided to eliminate him
ஆல்பட்ராஸ் பறவைகள் கப்பல்களை பின்தொடர்ந்து அவற்றில் இறங்குகின்றனவா	do albatross follow and land on ships
மிகவும் முக்கியமாக முத்ரா திட்டத்தில் கடன் பெற்றவர்களில் 70க்கும் அதிகமானவர்கள் பெண்கள்	most importantly more than 70 of the loan raisers through the mudra yojana are women
நீ யென்பதொரு நீ	you are who you are
எனக்கு அவரை மிக நன்றாகவே தெரியும்	i know him very well
அப்படியானால் இவற்றை எப்படிச் சமநிலையாகவும் ஞானமாகவும் பயன்படுத்தலாம்	how then can you use them in a balanced wise and considerate way
நான் இரண்டு சாப்பிட்டேன்	i bought two
லண்டனில் படித்து வருகிறார்	he works in london
இரவில் சொன்னாரா	did you say evening
போட்டோ எடுக்கப்போட்டி	take photos
நான் உங்கள் மீது நடக்க வேண்டும்	ill walk you over
இதுதொடர்பாக போலீசில் அந்தப் பெண் புகார் அளித்தார்	the woman filed a complaint with the police in this regard
இதையடுத்து பெட்ரோல் எஞ்சின் பொருத்தப்பட்ட எலான்ட்ராவை மட்டுமே விற்பனைக்கு கொண்டு வர ஹூண்டாய் முடிவு செய்துள்ளது	indiabound hyundai elantra facelift to be offered with petrol powertrain only
எனினும் இந்தச் சம்பவங்களில் உயிரிழப்புகள் ஏற்பட்டதாக உடனடி தகவல் இல்லை	however there was no immediate report of any casualties in the incident
Rajinikanths Darbars Trailer நடிகர் ரஜினிகாந்தின் தர்பார் ட்ரைலர் வெளியீடு சம்பந்தமான அனைத்து செய்திகளையும் உடனுக்குடன் இங்கே தெரிந்துக் கொள்ளுங்கள்	watch rajinikanths darbar trailer here
கிழக்கு மாகாணம்	eastern province
எதற்காக நீங்கள் இலக்கியம் படைக்கிறீர்கள்	why are you a writer
பின் மீண்டும் ஜெயிலிற்கு அழைத்து வந்து விடப்படுவார்கள்	he was later taken back to the jail
காசோலைகளை Watch Tower என்ற பெயரில் எடுக்க வேண்டும்	checks should be made payable to watch tower
நல்ல கதை	great story
அது என் ஸ்டைல்	that is my style
இது தொடர்பாக பல்வேறு மாறுபட்ட கருத்துக்களும் எழுந்தன	on that there were some different views expressed
எதிர்மறையான எண்ணம்	negative thoughts do
இதில் பொறுமைதான் மிகமிக முக்கியம்	patience is the key here
மிளகாய்ப் பொடி 12 மேசைக் கரண்டி	chilli powder 12 tea spoon
எனவே அதனை மறந்துவிடுங்கள் என்று கூறியுள்ளார்	so forget it
இது மட்டுமே நான் செய்தது	i did only this
பொலிஸார் வழக்கு பதிவு செய்து விசாரணை நடத்தினர்	the police registered a case and investigating
2018 க்கான வருடாந்தர வசனம் என்ன அது ஏன் பொருத்தமாக இருக்கிறது	what is the yeartext for 2018 and why is it appropriate
இவரன்றோ மக்கள் முதல்வர்	peoples leader
கடவுளில் கொண்டுள்ள விசுவாசத்தை யாவரறிய தெரிவிப்பதைக் குறித்ததில் இயேசு என்ன முன்மாதிரி வைத்தார்	once a person has reached the point of dedication and baptism what else is required
அரசு தனியாா் பள்ளிகளைச் சோ்ந்த 500க்கும் மேற்பட்ட மாணவ மாணவிகள் பங்கேற்றனா்	more than 500 school children took part in it
என்று சொன்னது	he said it
இதன்மூலம் தரவரிசையில் 150க்கும் கிழாக இடம்பிடித்த முதல் இந்திய வீராங்கனை என்ற சாதனையையும் இவர் படைத்தார்	she was the first indian to play 100 women odis as well
பணிவுடன் வரவேற்ற மோடி	welcome modi
நர்மதை மட்டுமல்ல	not merely that
யெகோவாவும் நம்மை ஆசீர்வதிப்பார்	from these scriptural points along with prayers for guidance can we not perceive jehovahs thinking
கரூர் மாவட்டத்தைச் சேர்ந்தவர் அவர்	she hails from kannur district of kerala
இதெல்லாம் ஏன் வந்தது	why did all this happen
ஆனால் வங்கி அதிகாரிகள் பணத்தை கொடுக்காமல் இழுத்தடித்தனர்	however bank officials denied it
இங்க வந்து இருக்கோமேனு அடிக்கடி நெனைப்பேன்	i come here often
பிறகு ஒருமுறைகூட எந்தை முன் அவர் வரவில்லை	after this he never came here
கொரோனா வைரஸ் அச்சுறுத்தலால் இந்தியாவில் உயிரிழந்தோர் எண்ணிக்கை 25ஆக அதிகரித்துள்ளது	coronavirus west bengal records third death death toll rises to 40 in india
இதற்கு எதிர்ப்பு தெரிவித்து வீதிகளில் இறங்கி மக்கள் போராடி வருகிறார்கள்	people are protesting in the streets
ஏற்பாடெல்லாம் சிறப்பாக இருக்கிறதே என நினைத்தேன்	i thought things were going alright
பப்பு படத்தின் முதல் பார்வை போஸ்டர் ஒன்று சமீபத்தில் வெளியானது	the first look poster of the movie was released recently
அவருடைய ஞானமும் அறிவும் எவ்வளவு ஆழமானவை	how unsearchable his judgments are and past tracing out his ways are rom
ஆசையா இருந்தியளோ	did you want to
இதில் அவர் ஒரு மருத்துவராக வருகிறார்	he is a medical doctor
நறுஞ்சுவைக் கீரை Asystasia gangetica என்ற இந்த தாவரம் முண்மூலிகைக் குடும்பம் என்ற தாவரப்பிரிவைச் சேர்ந்தது ஆகும்	asystasia gangetica is a species of plant in the family acanthaceae
CRLs ஐ இறக்குமதி செய்	import crl error
பெண்கள் ஆதரவு குவிகிறது	women support women
என்பது குறித்தும் ஆய்வு நடக்கிறது	investigations are also on
நாம் தனியாக இல்லை	we arent alone
மேல்மேசை 20க்கான சாளரம்	window to desktop 20
என்ன செய்ய	what to do
என்னுடைய சொந்த அனுபவத்தில் சொல்கிறேன்	i am speaking out of personal experience
ஆனால் பெற்றோரின் சிறந்த கவனிப்பு என்பது எதையெல்லாம் உட்படுத்துகிறது	but what does good parenting involve you have likely heard advice on the subject
நமக்குப் பாடம் எருசலேம் அசீரியர்களால் பயமுறுத்தப்பட்ட காலத்திற்கே சங்கீதம் 46 பொருந்தும்	lesson for us psalm 46 would fit the time when jerusalem was threatened by the assyrians
என்தரப்பு நியாயத்தை யாருமே கேட்கவில்லை	no one asked my opinion
இவர்களுக்கு ஹரூன் என்ற மகன் இருக்கிறார்	they have a son arhaan
இவரென்று இல்லை	he is not
ஆனால் அப்படி இவர் நடித்த எந்தப் படமும் எடுபடவில்லை	however the film was never made
விட்டமின் சி நோய் எதிர்ப்புச் சக்தியை அதிகரிக்கிறது	vitamin c helps in boosting your immunity power
ஆம் நான் நன்கறிவேன்	yes i would love to
நாங்கள் வற்புறுத்த மாட்டோம்	we wont give up
பதிலளிக்கப்படாத பல கேள்விகள் இருந்தன	there were many unanswered questions
ஜெர்மனி ஆஸ்திரியா	for fully formatted text see publication
நமது நாட்டின் அடிப்படையை அச்சுறுத்தும் விதமாக மோடி அரசு நடந்துகொள்கிறது	the way modi government is behaving is a threat for the basics of our country
ஜம்மு காஷ்மீர் இந்தியாவின் ஒருங்கிணைந்த பகுதி	jammu and kashmir is an integral part of india
உடனடியாக சம்பவ இடத்திற்கு அரசு அதிகாரிகள் விரைந்து வந்தனர்	the police officials immediately reached the location
அப்போது 200க்கும் மேற்பட்டோர் உயிரிழந்தனர்	more than 200 people were killed
தோ பிரச்சினை நடந்திட்டு இருக்கு	theres some problem here
இத்தனை தாமதமான புகாருக்குக் காரணம் சொல்லப்படவில்லை	no reason has been given for the delay
இதனால் அவர்களால் காவல்துறையில் புகார் கொடுக்க முடியவில்லை	they didnt lodge any complaint with the police
தாவீது நன்றியுள்ளவனாக இருந்தான்	he praised jehovah saying i shall laud you because in a fear inspiring way i am wonderfully made
கொஞ்ச நாட்களுக்குப் பிறகு மார்கரீடா பைபிளை படிக்க ஆரம்பித்தாள்	soon afterward margarita began studying the bible which helped her to instill moral values in her children
எதையுமே வேண்டவும் தோன்றுவதில்லை	nothing is what it seems
விண்ணப்பக் கட்டணம் கர்நாடகா வங்கியின் மேற்கண்ட அதிகாரிகள் பணியிடங்களுக்கு விண்ணப்பிக்க ரூ	application fee rs
இதன் பின்னர் லோக்சபா நாள் முழுவதும் ஒத்தி வைக்கப்பட்டது	the lok sabha was later adjourned for the day
20 புடலை ரூ	20 tral rs
அவர் மீதான குற்றம் என்னவென்றால் தனது மகளை 25 ஆண்டுகளாக வீட்டின் இருட்டறையில் அடைத்து வைத்து கற்பழித்தார் என்பதே	he has been accused of keeping his daughter prisoner and raping her for 25 years
பொதுமக்களும் புகாா்களை 1031 என்ற எண்ணில் உடனுக்குடன் தெரிவிக்கலாம்	citizens can also call the toll free number 1031 to send in suggestions
சரித்திர முக்கியத்துவம் வாய்ந்தவை	history matters
சீனா பாகிஸ்தான் நேபாளம் என்று மிக கடுமையான நெருக்கடியை இந்தியா எதிர்கொள்ள தொடங்கி உள்ளது	china pakistan nepal and even bangladesh have serious issues with india
பார்வையாளர் புத்தகத்தில் பிரதமர் பின்வருமாறு எழுதியுள்ளார்	in the visitors book the prime minister wrote
இவையெல்லாம் அறிவு சார்ந்த விஷயங்கள்	this is all knowledge
உடற்கூறியல் ஆய்வில் விசுகசு என்ற சொல் ஓர் உள் உறுப்பைக் குறிக்கிறது	in the study of anatomy the term viscus refers to an internal organ
சாடிய சுப்ரீம் கோர்ட்	supreme courts judgment
ஷியாவோவின் கணவர் பால்தான் உள்ளது என்று ABC News கருத்துக் கணிப்பு கண்டறிந்துள்ளது	on the side of schiavos husband the abc news poll found
தொப்புள் குடலிறக்கம் என்றால் என்ன	what is strep throat
எடுத்த காரியங்களை வெற்றிகரமாக முடிக்கும் ஆற்றலும் திறனும் பெறுவீர்கள்	you will have the stamina and the energy to get your tasks completed
இராணுவத்தினர் திருப்பிச் சுட்டனர்	the soldiers fired
என்னமோ இதெல்லாம் எனக்கு அறவே பிடிப்பதில்லை	i dont care about all that
இச்சம்பவம் குறித்து நகர போலீஸாா் வழக்குப் பதிந்து விசாரணை நடத்தினா்	city police have registered a case and lodged an investigation in this regard
சிலபோது வஞ்சம்	sometimes bitter
அதனை தொடர்ந்து பாரிய சத்தமும் கேட்டது	there followed a massive ovation
இதுகுறித்த அறிவிப்பை மத்திய அமைச்சர் பிரகாஷ் ஜவடேகர் சற்றுமுன் அதிகாரபூர்வமாக அறிவித்துள்ளார்	the announcement was made by the union minister prakash javadekar
கடவுள் இருப்பதாக நாங்கள் நம்புகிறோம்	we believe in god
நம்முடைய தேவராஜ்ய சரித்திரத்தில் ஆளும் குழுவினர் மிகுந்த ஆர்வம் காட்டுகிறார்கள்	the governing body is keenly interested in our theocratic history
மனிதர்களின் உடல் ஆரோக்கியம் நன்றாக இருக்க சரியான அளவில் தூங்க வேண்டியது அவசியமாகும்	it is essential to get enough sleep to maintain good health
அவள் தொடர்ந்து போய்க்கொண்டே இருந்தாள்	she continued
எனக்கு எந்த சினிமா பின்னணியும் இல்ல சார்	i dont have any musical background
தமிழக முதல்வர் மீதான டெண்டர் முறைகேடு புகாரை சிபிஐ விசாரிக்க இடைக்காலத் தடை விதித்தது உச்ச நீதிமன்றம்	supreme court stays order allowing cbi inquiry into graft allegations against tamil nadu cm
நடைமுறையில் இது வேறுபடும்	in practice it is totally different
எனவே எனக்கு பயமில்லை என்கிறார் அவர்	so i dont fear
இந்த வீடியோவை யார் எடுத்தது என்பது குறித்து தெரியவில்லை	it is not known about who captured the video
அவளுக்குக் கருகருவென முடி ரொம்ப அடக்கமாக இருந்தாள்	shortly before that at a congregation meeting in a neighboring village i had met lidiya a modest dark haired girl
ஆகையினால் இவர்கள் அனைவரும் ஒன்று தான்	so theyre all kind of the same
அதுதான் உறவை மேம்படுத்தும்	this will strengthen relationships
நாங்கள் அதிகம் படிக்கவில்லை	we are not reading enough
மறுபடியும் அனுராதா	unadkat again
தினமும் இது தொடர்கிறது	it goes on everyday
அவர்கள் இப்போது மத்திய மற்றும் மாநில அரசுகளின் மக்கள் நலத் திட்டங்களாலும் பயன்பெறலாம்	they will now be able to benefit from the public welfare schemes of the state and central governments
அவங்களைப் பற்றின பயமுறுத்தும் விஷயம் என்ன தெரியுமா	you know the scary thing about them
ஆனால் அவர்களும் நாமும் எதிர்பாராமல் சில சிக்கல்கள் ஏற்படுகின்றன	but we faced some unexpected problems
