சத்குரு ட்வீட்	sadhguru tweet
இதில் புரதம் நார்ச்சத்து கொழுப்புச்சத்து கால்சியம் பாஸ்பரஸ் சத்துக்கள் உள்ளன	it contains proteins fats carbohydrates minerals and vitamins
உன் அறிவுக் கூர்மைக்கு எல்லையே இல்லை	your creativity has no bounds
முக்கிய சந்தைகள்	primary markets
அவரது குடும்பத்துக்கு ஆழ்ந்த இரங்கலைத் தெரிவிக்கிறோம்	our heartfelt condolences to his family
ஒரு இடத்தில் சாலை முறிந்தது	the road has collapsed at few places
புனரமைப்பு வேலைத்திட்டம் அங்குரார்ப்பணம்	redevelopment plan
தெற்காசியா அறக்கட்டளையின் SAF தற்போதைய ஆலோசனைக் குழு உறுப்பினர்களில் இவரும் ஒருவர்	he is one of the current advisory board member of south asia foundation saf from india
ஆனால் நம் மக்கள் தெளிவாகவே இருக்கிறார்கள்	but our vision is clear
கலகல சிரிப்பு	laugh riot
என்னஎன்றால் என்ன	what is what
நீ ட்ரான்ஸ் சரி	you just repair drones
இந்தியாவை மறந்து விட்டீர்கள் பிறதர்	have you forgotten about india
ஸ்டீபனுக்கு காயம் ஏற்பட்டது	stephanie was injured
எவரையும் அவர் தூற்றிப்பாடியது கிடையாது	he didnt spare anyone
இல்லை இதை இப்படி வரையக் கூடாது	no dont say that
ஹால்ஸ்பரியின் இங்கிலாந்து சட்டங்கள்	halsburys laws of england
தமிழில் அவர் கடைசியாக நடித்தது கமல் ஹாஸனின் தசாவதாரம் படத்தில்தான்	she was last seen in a tamil film dasavatharam alongside kamal haasan
என் மனம் படபடத்தது	my mind was blown
ஒரு வாரத்துக்கு முன்பு 239 பயணிகளுடன் மலேசியன் ஏர்லைன்ஸ் விமானம் மாயமானது	malaysian flight with 239 people aboard disappears
தீவிபத்துக்கான காரணம் தெரியவில்லை	cause of fire is not known yet
இங்கே அது இல்லை	its not that here
இந்த இரண்டு படங்களும் விமர்சன ரீதியாகவும் வசூல் ரீதியாகவும் நல்ல வரவேற்பை பெற்றது	these films were both critically acclaimed and wellreceived
குடியுரிமை பெற்று விட்டீர்களா	did you get citizenship there
ஹெச் எம் டி குளோபல் நிறுவனம் இந்தியாவில் நோக்கியா 23 ஸ்மார்ட்போனினை அறிமுகம் செய்துள்ளது	hmd global has launched its entrylevel nokia 23 smartphone in india
அங்கே ஒருத்தர் இருக்காரு	there is one
இவரது வாழ்க்கையில் என்ன நடந்தது	what happened in their life
ஆனால் நாங்கள் அப்படி எதுவும் செய்யவில்லை	but we havent done that
அதன்பின் அவர்களுக்குள் நட்பு ஏற்பட்டது	subsequently they had become friends
அவர் அம்மா பேசி இருக்கிறார்	she talks back to her mother
நறுக்கிய வெங்காயம் 1 தேக்கரண்டி	sliced garlic 1 cup
வேறு யாரையும் அவர்கள் உள்ளே விடவில்லை	no one else was allowed in
அப்படீன்ற எதிர்பார்ப்பு ரசிகர்கள்கிட்ட இருக்குது	the fans have a lot of expectations
ஆனால் இவையெல்லாம் பரவலாக அறியப்படவில்லை	but not everybody is aware of those
எல்லா மக்களும் தங்களால் முடிந்த உதவிகளை செய்த வண்ணம் உள்ளனர்	the people are rendering all assistance
படம் பல காரணங்களால சரியாக போகவில்லை	the film didnt work out for various reasons
அனைத்து துறையினர் கருத்துகள் கேட்ட பிறகு இதில் இறுதி முடிவு எடுக்கப்படும்	the final decision will be taken after all the considerations from every perspective
அதில் அவர் மேம்பட வேண்டும்	he has to improve on that
வேலை மாறும்போது என்ன செய்ய வேண்டும்	what to do when they change careers
மனாசேயின் எல்லையருகே கீழ்த்திசை துவக்கி மேற்றிசைமட்டும் எப்பிராயீமுக்கு ஒரு பங்கும்	and by the border of manasseh from the east side to the west side a portion for ephraim
கதவை உடைத்து உள்ளே சென்று பார்த்த போது அவர் இறந்த வி‌ஷயம் தெரிய வந்தது	when the door was broke opened he was found dead
ஏற்றுமதி இறக்குமதி செய்பவர்களுக்கு நல்ல லாபம் வரும்	those in importexport business will have good profits
தி நியூயார்க் டைம்ஸ்	the new york times
இது 130 குறியீடுகளைக் கொண்டுள்ளது	he owns 130 books
சொல்வது வெளிநாட்டவர்கள்	foreigners out
தனது அனுபவத்தில் இருந்தா	did he enjoy the experience
அதுக்காக	what for
இவை மரக்கிளைகளில் கட்டி தொங்க வைக்கப்படும்	these are hung up on trees
அவர்களது திட்டம் என்னவென்று தெரியவில்லை	i dont know what their plans are
இதெல்லாம் எங்கு போய் முடியும் என்றும் தெரியவில்லை	i dont know where that will go
எனவே இந்த அரசாங்கம் வெளியேறவேண்டும் என்பதுதான் அனைவரதும் கோரிக்கையாக இருக்கிறது	hence our demand is that this government be removed
இருவரும் ஒன்றாக வெளியில் சுற்றும் புகைப்படங்களை தங்களது சமூகவலைதளப் பக்கங்களில் வெளியிட்டு வருகின்றனர்	the photos are posted by the couple on their social media pages
மேலும் இவற்றின் இயக்கம் புவியின் மூடகத்தின் உள்ளே ஏற்படும் இயக்க மாதிரிகளை சார்ந்தே அமைகின்றது	also the movement of the earth is mostly based on the movement of the earths crust
இது பள்ளி மாணவர்களிடம் நல்ல விளைவுகளை உருவாக்கியது	this had been casting adverse effect on students
கடிகாரத்தைப் பார்ப்பதா	do watch
மீசை எதற்கு	why this ennui
என்று பதில் அளித்துள்ளார் கமல்	recounted kamal
உனக்கு என்னடி குறைச்சல்	what is wrong with you
இதை எதிர்த்து பெண்கள் பெருமளவில் போராட்டத்தில் ஈடுபட்டனர்	women have struggled fiercely against this
அதுமட்டும் இல்லையாம்	its just not that
93 ம் வயதில் மரணத்தை தழுவும் வரை அதே ஸ்தானத்தில் உண்மையோடு சேவித்தார்	he served faithfully in that capacity until his death at 93 years of age
ஒரு பாத்திரத்தில் சமையல் எண்ணெய் விடவும்	heat oil in a pot
இதுபோன்ற பூஜை எதுவும் செய்ததில்லை	nothing of this sort has been done
ஏஆர்இன் மனம் கவர்ந்த அந்த இசையமைப்பாளர் யுவன் ஷங்கர் ராஜா	that happens to be arrehmans faourite music director yuvan shankar raja
இது ஆரம்பத்தில் இந்து பெற்றோரின் குழந்தைகளுக்கு மட்டுமே திறந்திருந்தது	it was open only to boys of hindu parents
பின் வெங்காயம் இஞ்சி பூண்டு பச்சைமிளகாய் கறிவேப்பிலை சிறிது மஞ்சள் தூள் சேர்த்து பொன்னிறமாக வதக்கவும்	then add onion carrot cabbage coriander leaves mint leaves ginger green chilli and salt
மற்றவர்களைப் பற்றி சொல்லவே வேண்டியதில்லை	you dont need to speak for others
முதல் பதிவாக 1526 தேதியிட்டது	the first record is dated only 1526
அனைத்து சமூகத்தினரையும் ஒன்றிணைத்து பேசுவோம்	we take all communities together
குற்றம் சாட்டப்பட்டுள்ள அதிகாரிகள் தண்டிக்கப்பட வேண்டும்	the officers found guilty should be punished
நமது நட்புறவு என்பது இருதரப்புக்கும் வெற்றி அளிக்கும் போட்டியாக மட்டுமே இருக்கும்	our friendship is only a winwin game
என்னோடு வாருங்கள் காட்டுகிறேன் என்று அழைத்தார்	come and join me
ஒவ்வொன்றும் தனித்தன்மை மிக்கதாக உள்ளது	each is unique
அவர்களை தடுப்பதற்காக சிவபெருமான் 64 பைரவர்களை உருவாக்கினார்	therefore each of them is in mercy fined 4 pence
மாலைக்கு சொல்லி வை	say it in the evening
ஒவ்வொரு வியூகத்திற்கும் ஒவ்வொரு குறிப்பிட்ட பணி உண்டு	there are groups of units for every stripe
இச்சம்பவம் முழுவதும் அழகு நிலையத்தில் இருந்த சிசிடிவி கேமராவில் பதிவாகியுள்ளது	the entire incident was recorded on the cctv camera installed at the facility
எனக்கு ஒண்ணும் புரியல்லை	i do not understand
அவர் முகத்தைக் கடைசியாக எங்களால் நேரில் பார்க்கவும் முடியாது	i couldnt see his face for one last time
அவ்வளவும் தமிழில்	and all in tamil
பெற்றோர் தங்கள் பிள்ளைகளை நன்றாக வளர்க்க வேண்டும்	parents do well to remember that they are carrying out an assignment from jehovah
இதனையடுத்து ஆள்கடத்தல் மற்றும் கொலை வழக்கு உள்ளிட்ட பல்வேறு பிரிவுகளில் வழக்குப்பதிவு செய்து சிறையில் அடைத்தனர்	he was wanted in several cases of crime including murder and loot
வேறொருவரின் ரீ	someone else
இதுகுறித்து தகவல் அறிந்த போலீஸார் சம்பவ இடத்திற்கு விரைந்து வந்தனர்	police rushed to the spot upon being informed
மீண்டும் இடிபட்டது	again overturned
மேலும் அவருக்கு ரூ	in addition rs
இந்த நிக‌ழ்ச்சிக்கு அய்மான் ச‌ங்க‌த் த‌லைவ‌ர் அதிரை ஏ ஷாஹுல் ஹமீத் அவர்கள் த‌லைமை வகித்தார்	the function was chaired by the president of jamaate islami hind syed jalaluddin umari
இவரது தந்தை யாதவ சாதியைச் சேர்ந்தவர்	his father belonged to the yadav caste and his mother belonged to the madiga caste
என நான் இரைந்தேன்	i ducked
தொடர்ந்து வேலை இருந்துகொண்டே இருக்கும்	the work will continue
இவர்களுக்கு பாதுகாப்பான சேவை வழங்குவது எமது கடமையாகும்	our duty is to keep them safe
கர்நாடகம் மிசோரம் மேகாலயா பஞ்சாப் ஆகிய மாநிலங்களாகும்	the other states are punjab karnataka mizoram and puducherry
இதையடுத்து அவரது உடல் சொந்த ஊருக்கு அனுப்பி வைக்கப்பட்டது	his body was then shifted to his residence
இந்த வரும	this years
என்று கேட்டார் பாரதியார்	bharti asked
அதன்படி டெல்லியில் ஒரு லிட்டர் பெட்ரோல் விலை ரூ	accordingly the price of petrol stands at rs
சம்ஸ்கிருத மொழி	english language
டாடா நெக்ஸான் எஸ்யூவியின் புதிய மாடலின் டீசர் வெளியீடு இந்த மாடல்தான் வருகிறதோ	new tata nexon teaser released could it be for the muchawaited dct transmission
போட்டியின் போது காளைகளை அடக்கியவர்க ளுக்குப் பல்வேறு பரிசுகள் வழங்கப்பட்டன	prizes were given to winners of various competitions organised during the camp
ஆதார் நாட்டின் மிகப்பெரிய தொழில்நுட்ப அடிப்படையிலான ஆற்றல் திட்டங்களில் ஒன்றாகும்	aadhaar has become one of the largest technologybased empowerment programmes in the country
முடி கொட்டுவதை தவிர்ப்பதற்கான சில வழிகள்	how to prevent hair fall
அகில இந்திய தேர்தல் ஆணையருக்கும் இதுதொடர்பான புகார் மனுவை அனுப்ப உள்ளோம்	we have also sent a complaint to the election commission of india
விருது பெற்ற ஆசிரியர்களுக்கு மோடி வாழ்த்து	pm modi congratulates national teachers awards winners
இதனை எதிர்த்து மத்திய அரசு உச்ச நீதிமன்றத்தில் வழக்கு தொடர்ந்தது	the central government challenged this in the supreme court
ஆனால் உண்மையான காரணம்	but the truth of
என்ற வளைவை தாண்டி வந்தோம்	we have crossed the barriers
அடிக்குறிப்பு	leanne says what really helped us through the difficult times was our mutual love of jehovah god
அம்மாவிடம் கேட்டான்	asked his mother
குட்டி நல்ல ஆரோக்கியத்துடன் திடகாத்திரமாக இருக்கிறதாம்	the child is in good health
எல்லோர் வாழ்க்கையிலும் ஏற்ற இறக்கங்கள் வரும்	everybodys life goes through ups and downs
அதை பெருமையாகவே கருதுகிறேன்	im proud of it
தகவல் தி அமெரிக்கன் அகாடமி ஆஃப் பீடியாட்ரிக்ஸ்	source the american academy of pediatrics
திருகோணமலை காவற்துறையினர் மேலதிக விசாரணைகளை மேற்கொண்டு வருகின்றனர்	the koramangala police are investigating further
அதிகரிக்கும் பொருளாதார செயல்பாடுகள் வேலை வாய்ப்புகளை உருவாக்கும்	increased economic activities would have the employment generating potential
மத்திய அரசின் இந்த முடிவிற்கு திமுக தலைவர் முக ஸ்டாலின் எதிர்ப்பு கூறி ட்வீட் செய்துள்ளார்	dmk chief mk stalin reacting to the death attacked the central government
இந்த இடத்தில்தான் ஊடகங்கள் வருகின்றன	this is where the media comes in
அரசின் உச்சகட்ட அவமானம் இது	this is a great shame on the part of this government
அதோடு இவர் திரைப்பட நடிகர் மட்டும் இல்லாமல் திரைப்பட தயாரிப்பாளரும் ஆவார்	besides being an actor he is also a producer
26 கோடியாக மட்டுமே	26 crores
தமிழ் திரையுலகின் முன்னணி கதாநாயகியாக வலம் வருபவர் நயன்தாரா	nayanthara is one of the topbilled female actors in tamil cinema
இது அந்த தமிழக பாஜகதானா	is it the bjp
இங்கே வாருங்கள் குட்டி ஸ்வான்களே	come here my little swans
அவர் பதவி விலக வேண்டும் பிரதமர் மோடி மன்னிப்பு கேட்க வேண்டும் என்றும் அவர்கள் வலியுறுத்தி வருகின்றனர்	they demanded an apology from prime minister narendra modi and asked him to cancel her nomination
இவா்களில் பெரும்பாலானோா் அண்மையில் பாஜகவில் இணைந்தனா்	the duo had joined the bjp recently
அப்படியென்றால் இவற்றை நிச்சயம் பாதுகாக்க வேண்டும்தானே	the importance of preserving coral reefs is evident in that they are home to one quarter of the earths marine plants and animals
மத்திய ஊரக வளர்ச்சித்துறை அமைச்சர் கோபிநாத் முண்டே டெல்லியில் நடந்த சாலை விபத்தில் உயிரிழந்தார்	rural development minister gopinath munde dies in delhi road accident
ஆனால் கூடுதலாக அவர்களுக்கு என்ன காரியமும் தேவைப்படும்	like them we are in the last days of a wicked system of things that is about to be destroyed
தமிழ் தான் உயிர் மொழி	tamil is my mother tongue
னு கேட்டோம்	we enquired
ஆழக்கடலின் கரையில்	on the sea shore
விமர்சன ரீதியாகவும் வசூல் ரீதியாகவும் இந்த படம் வெற்றி பெற்று உள்ளது	the film was critically and commercially successful
காய் முதிரும்போது அதிக அளவில் நீர் தேவைப்படுகிறது	needs much water in the growing season
இப்படத்தை முதன்முறையாக பிரபல ஒளிப்பதிவாளர் ரவி கே சந்திரன் இயக்குகிறார்	popular cinematographer ravi k chandran will direct the movie
தமிழகத்தில் தேசிய ஜனநாயக கூட்டணிக்கு அ தி மு க தான் தலைமை வகிக்கிறது	the nda in tamil nadu is led by the embattled aiadmk
ஆண்டாண்டு காலமாக தனக்கே உரித்தான பேரழகினால் நவரத்தினங்களின் பேரரசனாக திகழ்ந்து வருகிறது இது	by awake correspondent in belgium
தேர்தலில் போட்டியிட யார் வேண்டுமானாலும் விருப்ப மனு அளிக்கலாம்	anyone can contest the elections
எவிக்‌ஷன் எப்படி நடக்குது	how is the updation taking place
விண்ணப்பக் கடிதங்கள்	application forms
அதனை அடுத்து போதை பொருள் வியாபரிகள் இருவரை பொலிசார் கைது செய்தனர்	the police have detained the two men thereafter
சாவித்ரி அஞ்சினாள்	savitri is terrified
நான் ஆணையை விரும்புகிறேன்	we like to party
இந்தியாவின் உயிர்நாடி இந்தியாவின் தற்சார்பு மற்றும் இந்தியாவின் சுயமரியாதை ஆகியவை ஒன்றுடன் ஒன்று இணைந்துள்ளன	the soul of india indias selfreliance and indias selfrespect are interlinked
இந்த அறிவிப்பை ஃபேஸ்புக் மூலம் கேரள முதலமைச்சர் பிரணாய் விஜயன் அறிவித்துள்ளார்	chief minister pinarayi vijayan announced this in a facebook post
அதேசமயம் மற்றொரு காரணமும் சொல்லப்படுகிறது	there is also another reason
மிகவும் களைப்பாக இருந்தார்	he was very tired
நான் கேட்கப்போறேன்	i am asking
ஏன் அப்போது சமரசம் இல்லை	why was there no delimitation then
இது மற்ற நாடுகளில் குறைவு	its different in other countries
அங்கு 300க்கும் மேற்பட்ட முதியோர்கள் தங்கி உள்ளனர்	more than 300 people have died
ஜிடிபிக்கு எதிரான இந்தியாவின் வெளிநாட்டுக் கடன் உலக அளவில் மிகவும் குறைவாக 5 என்ற அளவில் இருக்கிறது	indias sovereign external debt to gdp is among the lowest globally at less than 5
நடுவர்கள் யார் யார் என்று எவருக்குமே தெரியாது	nobody knows who the selectors are
சந்தோஷமாதான் செய்றாங்க	just be happy
பொருளுடைமைகள் நிலையான மகிழ்ச்சியைத் தராது	material possessions do not bring lasting happiness
மாணவ மாணவியர்க்குப் படிப்பில் ஆர்வம் அதிகரிக்கும்	students interest towards education will increase
திசையன்விளையில் டிராக்டா் பைக் மோதல் இளைஞா் சாவு	youth dies in biketruck collision
இதுகுறித்து தாழையூத்து போலீஸாா் வழக்குப் பதிந்து விசாரித்து வருகின்றனா்	the police has registered a case and are investigating the matter
பொருளாதாரம் சிறக்க பாதுகாப்பு அவசியம்	demand for economic security
அது தொழில் அல்லவா	isnt it a job
ஆ சின்னச் சின்ன தயவான செயல்களும்கூட ஏன் முக்கியமானவை	through his holy spirit with his inspired word
அதுக்கு ஏதும் பெயர் இருக்கா	does it have a name
இவ்வழக்குத் தொடா்பாக போலீஸாா் மேலும் சிலரைத் தேடி வருகின்றனா்	police are searching for some others involved in the incident
ஆதிகால மனிதர்கள் வேட்டையாடி உணவுகளை சேகரித்தார்கள்	ancient humans were huntergatherers
ஆனால் இதை கர்நாடகம் ஏற்கவில்லை	but that is not the case in karnataka
நான் ஓடி பின்னாலே போனேன்	i went after running
பாகிஸ்தான் இப்படித்தான்	pakistan is at it
அவை பற்றி நல்ல விதமாகச் சொல்வதற்கு ஒன்றுமில்லை	they have nothing better to speak about
இதனால் தமிழகத்தில் 600க்கும் மேற்பட்ட ஆசிரியர் பயிற்சிப் பள்ளிகள் மூடப்பட்டுள்ளன	more than 600 schools are closed across the state
கிமு 50 இல் கட்டபான் வீழ்ச்சியடைந்த பின்னர் சபேயர்கள் மெய்ன் மீது தங்கள் கட்டுப்பாட்டை மீட்டெடுத்தனர்	the sabaeans regained their control over main after the collapse of qataban in 50 bce
அனைத்துக்கும் மேலாக பூச்சிக்கொல்லி மருந்தின் ஆபத்தான விளைவுகள் குறிப்பாக குழந்தைகளை எளிதில் தாக்கும்	above all children are particularly vulnerable to the harmful effects of pesticide exposure
ஒருபோதும் நடைபெறாது	it will never happen
ஆனால் எனது எண்ணம் தவறு என்று அப்போதுதான் எனக்குப் புரிந்தது	but i realised how wrong i was
ஏன் சிலர் இவ்வாறு உணருகின்றனர்	in its aftermath it leaves nothing but misery and pain for friends and family
ஆனாலும் ஜனரஞ்சக அரசியல் வழிகாட்டியாக அவர் இருந்ததில்லை பி ஜே பி அ	but he was also no ordinary political adviser
மேலும் ஐபிஎல் தலைவராக பிரிஜேஷ் படேலை நியமிக்க முடிவு செய்யப்பட்டது	also brijesh patel is set to take over as ipl chairman
அது ரொம்பவே ஆபத்தானது	thats very dangerous
ஆனால் இரண்டு படங்களும் வெவ்வேறு கதைக்களங்களைக் கொண்டவை	however pictures tell a different story
இன்று வங்கிகள் விடுமுறையே இல்லாமல் வேலை செய்து கொண்டுள்ளன	all banks were shut today
அந்த படத்துல இருக்கறது நான் இல்ல	i am not in that video
குரல் கரகரவென கம்மி விடுகிறது	the voice becomes husky
லாரி ஓட்டுனர்	truck driver
இது கேன்சருக்கான அபாயத்தை குறைக்க உதவுகிறது	this helps reduce the risk of injuries
ஆனால் அதில் பல வதந்திகள் பரவி வருகின்றது	but lots of rumours
ஆனால் கிரணுக்கு ஏற்கனவே திருமணம் நடந்துள்ளது	but she was already married
காந்தியின் உணர்வு	the spirit of gandhi
கோபே பிரையன்ட் மற்றும் அவரது மனைவி வனேசா ஆகியோருக்கு கியானா நடாலியா பியான்கா மற்றும் காப்ரி ஆகிய நான்கு மகள்கள் இருக்கின்றனர்	bryant and vanessa had four daughters natalia gianna bianka and capri
இதில் வடகரை பொதுமக்கள் மற்றும் அரசு அதிகாரி உள்ளிட்ட பலர் கலந்து கொண்டனர்	officials and general public in large numbers attended the function
நம் நாடு போரில் இருந்தபோது ராணுவ வீரர்களுக்கு தேநீர் வழங்கியது நினைவில் உள்ளது	i recall the time when i served tea to the soldiers in transit when our country was fighting a war
இவரது சீக்கிய பாரம்பரியம் காரணமாக இவர் இந்தச் செயலை மறுத்துவிட்டார்	he declined due to his sikh heritage
சென்னையிலும் தமிழகத்தின் பல பகுதிகளிலும் கண்டன ஆர்ப்பாட்டங்கள் நடைபெற்றன	protests were also held in chennai and other parts of tamil nadu
இதன் மூன்றாவது மற்றும் இறுதி ஆட்டம் ராஞ்சியில் நடந்து வருகிறது	the third and final is currently being played in karachi
இவை அனைத்தும் மிகப்பெரிய சவால்களாக அவர் முன் இருந்தன	all these were big challenges
அதற்கான கொண்டாட்டங்கள் இப்போதே தொடங்கி விட்டன	the celebrations have begun
அந்தத் தேசத்தை உளவு பார்ப்பதற்காக 12 பேரை மோசே அனுப்பினார்	moses then sent 12 men to spy out the land
பார்க்க சகிக்கலை	cant wait to watch
பிரிட்டிஷ் ஆட்சிக் காலத்தில் அவர் மராத்தா காலாட்படையில் பணிபுரிந்து வந்தார்	during british period he had worked in maratha light infantry
இந்தியாவில் அனைத்து உணவுகளுக்கும் முக்கிய வஸ்துவாக விளங்குவது வெங்காயம்	the onion is a key ingredient in indian dishes
இவ்வாறான நிகழ்வுகள் இந்நாட்டிற்கு புதிய விடயமல்ல	such incidents are not new to us
என்பது குறித்து முடிவெடுப்பேன்	i will decide
இரண்டாவது சமூகம் சார்ந்தது	second society
எல்லாம் நல்லபடியாகதான் போயிட்டிருந்தது	all was going fine
குழந்தைகள் மட்டும் பார்தாங்கன்னா ஓகே	just look at the children
ஆர் காங்கிரஸ் ஆகியவை இடம்பெற்றுள்ளன	r of the congress
திட்டங்கள் நம்பிக்கையின்மை படைதிரட்டல்	plans faithless and army gathering
குறிப்பாக அரசியல்	particularly those in politics
அனுப்புநர் பெறுநர்	by smart sender receiver
மன்னிக்கவும் மாட்டோம் மறக்கவும் மாட்டோம்	cant forget wont forgive
எங்களைவிட அதுக முக்கியமா	is it important to us
சீரகத் தூள் – 1 டீ ஸ்பூன்	turmeric powder 1 tsp
14 லட்ச ரூபாய் ரொக்கமாக கொடுத்தேன்	supplied 14 lakh
சரின்னு உடனே ஒப்புக்கிட்டார்	he agreed immediately
இறைவன் இருக்கிறான்	god is there
எப்படி என்று எனக்குத் தெரியவில்லை என்றார்	i dont know how to
யாரிடமும் என் முகத்தை காட்ட மாட்டேன்	i dont want anybody to see my face
ஆனால் எந்த பிரச்சனையுமே ஏற்படவில்லை என்பதுதான் யதார்த்தம்	but there were no issues of fact
இவரின் மாறுபட்ட வேடங்களைக் கொண்ட நடிப்பிற்காக பரவலாக அறியப்படுகிறார்	he is well known for his unique acting style
நாங்கள் எந்த முறைகேட்டிலும் ஈடுபடவில்லை	we did not engage in any malpractice
அவரது உயிரிழப்பிற்கான காரணம் குறித்து தெரியவில்லை என அதிகாரிகள் தெரிவித்தனர்	authorities say the cause of his death is unclear
நடுத்தளப் படம் அது	its a film
எனக்கும் எதுவும் புரியலை	i dont understand anything
பரிசு பெற்ற மாணவிகள்	students awarded
இதில் ஆறு தனித்தனியான P–P பிணைப்புகள் உள்ளன	we assume that there exists some constant p
இதற்கு நல்ல வரவேற்பு கிடைத்தது	this was very well received
இவர் ராஷ்டிரிய லோக் சம்தா கட்சியைச் சேர்ந்தவர்	she is affiliated to the rashtriya loktantrik party
தொடரின் நாயகன் கேன் வில்லியம்சன்	captain kane williamson
இந்தச் சொல் அப்பால் அல்லது மேலாக என்று பொருள்படும் மூலச்சொல் மெட்டாவில் இருந்து வருகிறது	the term comes from the root word meta meaning beyond or on top of
தேசத்தின் குரல் பாலசிங்கம்	voice of the nation
ஏர் இந்தியாவை கைவிடுகிறது அரசு	government puts air india stake sale on hold
இந்த விவகாரம் தொடர்பில் அவர் ​மேலும் தெரிவிக்கையில்	on this matter he said
அவற்றை கிரேன் வைத்து எடுக்க முடியவில்லை	they could not keep him
இந்தப் போர் யெகோவாவுடைய பெயருக்குப் புகழ் சேர்க்கும்	together with his 144000 corulers in heaven jesus will come to the rescue of gods people here on earth
இது ஒரு தீவிர உணர்ச்சி மிக்க திரைப்படமாகும்	it is a highly emotional film
புத்தகங்களே எனக்கு நண்பர்களாக இருந்தன	books were my friends
ஆனால் ஒரு விஷயம்	but theres one thing
அதிலும் ஆங்கில நாவல்கள்தான் அதிகம்	the vast majority of those are english books
க பி ஜே பி கூட்டணியா	pdp bjp coalition
இதுவே நம் நாட்டில் பத்திரிகைகள் தோன்றிய முறையாகும்	it is the groundwork for our worldview
நான் இனிமேல் என் வாழ்க்கையைப் பற்றிக் கவலைப்படப் போவதில்லை	i am not bothered about my life
தெரியாதேப்பான் னாராம்	dont know
ஆகவே வேலையில்லா திண்டாட்டம் உருவாகியது	therefore unemployment has increased
நீண்டகால மிஷனரிகள் வெளியிட்ட வெற்றியின் ரகசியங்கள்	some of them looked for ways of reaching foreign speaking people who lived and worked in their congregations territory
ஏன் சக்தியே இல்லாத நோஞ்சான்போல் தாக்குகிறான்	crowds would shout why does he meet the sword in so cowardly a way why does he strike so feebly
அவள் ஓர் உதாரணம் மட்டுமே	its just one example
அதுக்குனு ஒரு வரம்பு இல்லை	there is no limit
325 கோடி கொண்டு வரப்பட்டது	325 crore
நானும் என் தாயாரிடம் கேட்டேன்	i asked my mother
எனக்கு தேவையான அனைத்தையும் பெற்றிருந்தேன்	i got everything that i wished for
அப்படியென்றால் யெகோவாவின் தீர்ப்பு என்னவாக இருந்தது	what was jehovahs verdict in this case
ஒருவேளை இதற்கு உங்கள் குடும்ப டாக்டர் உதவக்கூடும்	perhaps your family doctor can assist you in this regard
மஹாகனி மர வகைக்கு அச்சுறுத்தல்	according to the head of the governments indian service the biggest threat comes from the mahogany trade
அவனுடைய மரணத்துக்குப் பின்பும்கூட ஆதாம் எங்குமே இல்லாதிருக்கும் அதே நிலைக்குத் திரும்பினான்	after his death adam returned to the same state of nonexistence
அவர்கள் உள்ளே உள்ளனர்	theyre in there
எங்களுக்கு மக்களின் ஆதரவு இருக்கிறது	we have the public support
சிவசேனா தேசியவாத காங்கிரஸ் மற்றும் காங்கிரஸ் ஆதரவுடன் அங்கு ஆட்சி அமைத்துள்ளது	the nationalist congress party is in power in the state along with the shiv sena and the congress
னு நினைச்சு சந்தோஷப்படுவேன்	didier smiles as he recalls the time when he began to learn malagasy
அதில் சின்ன ரோல்தான்	its a small role
இதுகுறித்து உடனடியாக போலீசாருக்கு தகவல் கொடுத்தனர்	they immediately informed police about the matter
தமிழ் சினிமாவில் வாரிசுகள் அறிமுகமாவது ஒன்றும் புதிய விசயமில்லை	womencentric films are nothing new to tamil cinema
எதில் தெரியுமா	what do you know
நாடாளுமன்ற பட்ஜெட் கூட்டத்தொ டர் நடைபெற்று வருகிறது	the budget session of parliament is in progress
கஷ்டப்பட்டு உழைக்கிறவங்க	work hard
என்பதை மத்திய அரசு தெளிவுபடுத்த வேண்டும்	the government must clarify
நாங்கள் பைபிள் விஷயங்களை சந்தோஷமாக கலந்து பேசுகிறோம்	families can attain happiness when they work hard to do jehovahs will
என்ன அப்படி கேட்டுட்டீங்க	what a thing to say
தற்போது பயிற்சி ஆட்டங்கள் நடைபெற்று வருகின்றன	at present rehearsals are on
பெரும்பாலான நேரங்களில்	most times
இது இன்னும் நிலுவையில்தான் உள்ளது என்று அவர் கூறுகிறார்	that continues even now he says
சாடிய சுப்ரீம் கோர்ட்	supreme courts judgment
அவர்கள் மீது பொலிஸார் தடி­யடி நடத்­தினர்	police attacked them
சந்தோஷமடைய முடியாது	cant be happier
குறையாத காதல்	unconditional love
ஆனால் அது உண்மையா	their parents may feel that such permissiveness shows love but does it really
சம்பவம் குறித்து பொலிஸார் மேலதிக விசாரணைகளை மேற்கொண்டு வருகின்றனர்	police are carrying out further investigation into the incident
பழிவாங்கல் வேண்டாம்	dont be apologetic
நிகழ்ச்சியில் பேசிய மத்திய அமைச்சர் திரு	the minister of state
அது பற்றியும் சொன்னேன்	i had said this too
இதையடுத்து கொல்கத்தா அணி விராட் கோஹ்லி தலைமையிலான ராயல் சேலஞ்சர்ஸ் பெங்களூர் அணியிடம் மோதி தோல்வி அடைந்தது	preview ipl 2015 match 5 kolkata knight riders vs royal challengers bangalore
